STT	Mã dự án	Dự án	Kế toán	Phòng DA	Cấp QĐ đầu tư trước khi bàn giao	CĐT cũ	QĐ chuyển CĐT	Tình trạng hiện tại
								
		Tổng						
160	7758813	Hạ tầng đấu giá đất khu vực trung tâm hành chính huyện Lộc Hà	Phú	3	H	Thạch Hà	2140	6
161	7897531	Xây dựng đường nội vùng khu trung tâm hành chính giai đoạn 3	Phú	3	H	Thạch Hà	2140	5
162	7859084	Xử lý sạt lở bờ sông Ngàn Sâu đoạn qua xã Lộc Yên, huyện Hương Khê	Quân	3	T	Hương Khê	2140	5
163	7578674	Xử lý ô nhiễm môi trường do rác thải sinh hoạt trên địa bàn huyện Hương Khê tại xã Hương Thuỷ, huyện Hương Khê	Quân	3	H	Hương Khê	2140	5
164	8080491	Nâng cấp đường GTNT xã Phúc Trạch (Tuyến đường trục xã TX01)	Đức	3	H	Hương Khê	2140	5
165	8018893	Đường GTNT kết hợp phát triển kinh tế trang trại xã Hương Long	Đức	3	H	Hương Khê	2140	5
166	8018895	Nâng cấp đường giao thông nội thị, thị trấn Hương Khê	Quân	3	H	Hương Khê	2140	4
167	8018894	Đường GTNT thôn 6, 7 xã Hương Giang	Quân	3	H	Hương Khê	2140	4
168	8096032	Nhà học bộ môn 02 tầng trường Tiểu học Gia Phố	Quân	3	H	Hương Khê	2140	4
169	8108811	Khắc phục, sửa chữa công trình đập Hà Thông, xã Hương Xuân	Đức	3	H	Hương Khê	2140	5
170	8096031	Khối nhà hành chính quản trị kết hợp khối phụ trợ, hỗ trợ học tập trường tiểu học Hương Bình	Đức	3	H	Hương Khê	2140	5
171	8096028	Khối phòng học tập 03 tầng Trường Tiểu học Phúc Đồng	Quân	3	H	Hương Khê	2140	4
172	7999327	Nâng cấp đường huyện lộ 9 (ĐH.94), huyện Hương Khê	Đức	3	H	Hương Khê	2140	5
173	7999326	Đường giao thông huyện lộ 11 (ĐH.96) đoạn qua xã Hương Đô, Phúc Trạch, huyện Hương Khê	Quân	3	H	Hương Khê	2140	4
174	7947546	Nhà học 03 tầng 12 phòng và cải tạo 03 dãy nhà 2 tầng 10 phòng Trường THCS Chu Văn An	Quân	3	H	Hương Khê	2140	4
175	7947545	Nhà học bộ môn 03 tầng Trường THCS Chu Văn An	Quân	3	H	Hương Khê	2140	4
176	7999330	Sân vận động huyện tại xã Hương Long	Quân	3	H	Hương Khê	2140	5
177	7916328	Công viên cây xanh kết hợp quảng trường trung tâm huyện Hương Khê	Quân	3	H	Hương Khê	2140	5
178	8080485	Nâng cấp, cải tạo nhà biểu diễn và một số hạng mục phụ trợ Trung tâm Văn hóa-Truyền thông huyện Hương Khê	Quân	3	H	Hương Khê	2140	5
179	7921705	Nâng cấp, cải tạo Tiểu học, Mầm non Hương Thuỷ	Quân	3	H	Hương Khê	2140	5
