STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
132;8129144;Nhà hi?u b? k?t h?p nhà h?c 3 t?ng tr??ng trung h?c c? s? Thiên C?m;Nam;2;H;C?m Xuyên;2140;5;;;;;;;;;;;
133;7965115;???ng tr?c xã C?m Huy c? (?o?n t? QL1A ?i ???ng ?H.131);Nam;2;H;C?m Xuyên;2140;5;;;;;;;;;;;
134;7972204;Nâng c?p ???ng tr?c xã t? trung tâm xã ?i kênh N1, xã C?m S?n;Nam;2;H;C?m Xuyên;2140;6;;;;;;;;;;;
135;7874264.1;Xây d?ng tr? s? Công an xã C?m Du?;Nam;2;H;C?m Xuyên;2140;7;;;;;;;;;;;
136;7874264.2;Xây d?ng tr? s? Công an xã C?m Quang;Nam;2;H;C?m Xuyên;2140;7;;;;;;;;;;;
137;7986300;Nâng c?p, m? r?ng  tuy?n ???ng ?H.36 (Ch? ?ình – Quán Tr?i), huy?n Can L?c;H??ng;2;T;Can L?c;2140;5;;;;;;;;;;;
138;8081059;Nâng c?p, m? r?ng ???ng Th? S?n, huy?n Can L?c (giai ?o?n 1);H??ng;2;H;Can L?c;2140;5;;;;;;;;;;;
139;8155086;Nâng c?p, m? r?ng ???ng Thiên An (tuy?n nhánh 01), huy?n Can L?c;H??ng;2;H;Can L?c;2140;4;;;;;;;;;;;
140;8055487; Xây d?ng tr? s? làm vi?c xã Khánh V?nh Yên, huy?n Can L?c;H??ng;2;H;Can L?c;2140;5;;;;;;;;;;;
141;7945812;Xây d?ng h? t?ng khuôn viên tr? s? Huy?n ?y, CQCQ Huy?n;H??ng;2;H;Can L?c;2140;5;;;;;;;;;;;
142;7053124;H? th?ng k?t c?u h? t?ng k? thu?t C?m Công nghi?p - Ti?u th? công nghi?p B?c huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2578;5;;;;;;;;;;;
143;7997094;Xây d?ng nhà h?c b? môn 02 t?ng, 10 phòng tr??ng THCS M? Châu;Phú;3;H;Th?ch Hà;2140;5;;;;;;;;;;;
144;8021729;Quy ho?ch chi ti?t khu dân c? xã Phú Phong;Quân;3;H;H??ng Khê;2977;5;;;;;;;;;;;
145;8021730;Quy ho?ch chi ti?t xây d?ng c?m công nghi?p Gia Ph?;Quân;3;#N/A;H??ng Khê;2977;5;;;;;;;;;;;
