STT;Mã d? án;D? án;K? toán;Phòng DA;C?p Q? ??u t? tr??c khi bàn giao;C?T c?;Q? chuy?n C?T;Tình tr?ng hi?n t?i;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;T?ng;;;;;;;;;;;;;;;;;
471;7810104;????ng va?o ca?c xa? Ha? Linh, H??ng Thu?y, H??ng Giang, Lô?c Yên, H??ng ?ô, Phu?c Tra?ch huyê?n H??ng Khê (?oa?n t?? km 15+642,72 ?ê?n km 25+252,86);Quân;3;T;H??ng Khê;3026;7;;;;;;;;;;;
472;8043918;Công trình Xây d?ng kênh tiêu V?nh Phong, Yên Th? xã H? ??;Phú;3;H;Th?ch Hà;3455;7;;;;;;;;;;;
473;7980684;D? án ??u t? xây m?i, nâng c?p, c?i t?o 19 Tr?m y t? xã, t?nh Hà T?nh;V? Giang;1;T;Dân d?ng;DDCN;8;;;;;;;;;;;
474;7292495;???ng vào trung tâm xã Trung L?, huy?n ??c Th?;Huân;1;H;??c Th?;3026;8;;;;;;;;;;;
475;7187999;Nâng c?p, m? r?ng ???ng T?nh l? 21;Phú;3;T;Th?ch Hà;2140;8;;;;;;;;;;;
476;7897322;Xây d?ng ???ng giao thông n?i vùng khu trung tâm hành chính huy?n L?c Hà (giai ?o?n 2);Phú;3;H;Th?ch Hà;2140;8;;;;;;;;;;;
477;7910838;????ng giao thông t?? Le Ve C??a Tre?m ?ê?n Vu?ng Cô?n Tr??a va? Ba?i ra?c xa? Hô?ng Lô?c;Phú;3;H;Th?ch Hà;2140;8;;;;;;;;;;;
478;7294340;Nâng c?p, c?i t?o tr? s? H?ND và UBND huy?n V? Quang;Thu?n;1;T;V? Quang;2578;9;;;;;;;;;;;
479;7440943;H? th?ng ?i?n vào khu ch?n nuôi t?p trung xã ??c B?ng huy?n V? Quang;Thu?n;1;H;V? Quang;2578;9;;;;;;;;;;;
480;7489421;H? th?ng ?i?n vào khu ch?n nuôi t?p trung xã ??c Giang, huy?n V? Quang;Thu?n;1;H;V? Quang;2578;9;;;;;;;;;;;
481;7440942;H? th?ng ?i?n vào khu ch?n nuôi t?p trung xã ??c H??ng huy?n V? Quang;Thu?n;1;H;V? Quang;2578;9;;;;;;;;;;;
482;XHH8;Nhà th? vi?n tiên ti?n, sân ch?i, bãi t?p và các h?ng m?c ph? tr? thu?c tr??ng ti?u h?c H??ng Minh, xã H??ng Minh, huy?n V? Quang, t?nh Hà T?nh;Thu?n;1;H;V? Quang;2578;9;;;;;;;;;;;
483;XHH9;Khu t?p th? giáo viên 1 t?ng, tr??ng trung h?c ph? thông Cù Huy C?n, huy?n V? Quang;Thu?n;1;H;V? Quang;2578;9;;;;;;;;;;;
484;8078085;D? án Kh?c ph?c s?t l? b? sông Ngàn Ph?, ?o?n qua xã Tr??ng S?n, huy?n ??c Th?;Huân;1;T;??c Th?;2140;9;;;;;;;;;;;
485;8071083;D? án ???ng Tr?c xã 01 xã Bùi La Nhân, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
486;8114174;D? án C?i t?o, nâng c?p nhà v?n hóa, nhà làm vi?c 2 t?ng và các h?ng m?c ph? tr? Tr? s? H?ND - UBND huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
487;8027878;D? án Nâng c?p h? th?ng t??i tiêu Hói Tùng, xã Tùng Châu, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
488;8094293;D? án Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Lai ??ng, xã ??c ??ng, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
489;8062894;D? án S?a ch?a, nâng c?p h? th?ng kênh m??ng ??p Tr?, xã ??c L?ng, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
490;7980677;D? án ???ng giao thông t? dân ph? 3, 4 và t? dân ph? 8, th? tr?n ??c Th?, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
491;7993038;"D? án Tr??ng THCS Lê Ninh, huy?n ??c Th? - H?ng m?c: Nhà h?c b? môn 2 t?ng 6 phòng; Nhà ?a n?ng; Khuôn viên tr??ng";Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
492;8020026;D? án C?u Rào C?n và ???ng hai ??u c?u, xã Hòa L?c, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
493;8018186;"D? án Tr??ng m?m non ??c D?ng, huy?n ??c Th?; H?ng m?c: Xây d?ng nhà h?c 2 t?ng 4 phòng";Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
494;8131826;D? án Xây d?ng ?i?m check in t?i b?n Tam Soa, xã Tùng ?nh, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
495;8071075;D? án C?u B?n L?, thôn ??ng V?nh, xã ??c ??ng, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
496;8079695;D? án C?i t?o ???ng vào Khu di tích C? T?ng bí th? Tr?n Phú, xã Tùng ?nh, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
497;7687589;D? án ???ng liên xã Trung L? - Bùi Xá huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
498;7626324;D? án ???ng giao thông xã ??c Thanh huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
499;8062923;D? án S?a ch?a, nâng c?p h? Bàu Quán, thôn ?ông Thái, xã Tùng ?nh, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
500;7646339;D? án H?i tr??ng HDND - UBND huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
501;8094294;D? án Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Yên C??ng, xã Hòa L?c, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
502;8042564;D? án ???ng liên thôn Tr?i Tr?n - Yên C??ng, xã Hòa L?c;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
503;7648113;D? án H?i tr??ng kh?i dân huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
504;8072345;D? án ???ng giao thông xã Yên H?, huy?n ??c Th? (tr?c xã 09);Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
505;8064111;D? án C?u Kênh s? 1, xã Tùng ?nh, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
506;7425552;D? án Kh?c ph?c, s?a ch?a H? ch?a n??c Ao Sen, xã ??c L?p, huy?n ??c Th?, t?nh Hà T?nh;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
507;7944138;D? án Kênh tiêu úng th? tr?n ??c Th?, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
508;8088008;D? án B? b?i ph?c v? thi ??u th? d?c th? thao các tr??ng h?c - Tr??ng ti?u h?c ??c Yên, th? tr?n ??c Th?, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
509;8053437;D? án C?i t?o Nhà ?n, Nhà t?p luy?n th? thao và các công trình ph? tr? Tr? s? ?y ban nhân dân huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
510;8062891;D? án ???ng giao thông xã Tr??ng S?n, huy?n ??c Th? (tr?c xã 21);Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
511;8050829;D? án C?i t?o, nâng c?p Trung tâm hành chính công huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
512;8097448;D? án Kh?i phòng h?c, phòng ch?c n?ng 2 t?ng tr??ng m?m non Tùng Châu, xã Tùng Châu, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
513;8042563;D? án ???ng giao thông tr?c chính thôn Ninh Thái, xã Tr??ng S?n;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
514;8059061;Kh?i phòng h?c ch?c n?ng và h? tr? h?c t?p 02 t?ng 06 phòng, tr??ng ti?u h?c Quang V?nh, xã Quang V?nh, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
515;8050830;D? án C?i t?o, nâng c?p ngh?a trang li?t s? huy?n ??c Th? - H?ng m?c: C?i t?o nhà ?i?u hành, h? th?ng ?i?n khu bia, làm nhà v? sinh và h? th?ng c?p n??c;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
516;8079694;D? án Ch?nh trang, nâng c?p c? s? h? t?ng các tuy?n ???ng tr?c chính trung tâm huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
517;8050828;D? án S?a ch?a, nâng c?p h? th?ng chi?u sáng công c?ng b?ng ?èn Led trên ??a bàn huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
518;8071077;D? án Nâng c?p tuy?n ???ng huy?n ?H53, huy?n ??c Th? (?o?n t? QL15 ??n ???ng s?t xã Liên Minh);Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
519;8071080;D? án ???ng tr?c xã 30 (TX30) ?o?n qua xã Tân Dân, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
520;7845552;D? án Xây d?ng các tr??ng h?c do qu? Thi?n Tâm - T?p ?oàn Vingroup tài tr? trên ??a bàn huy?n ??c Th?. HM: Nhà h?c 2 t?ng 6 phòng tr??ng MN Liên Minh xã Liên Minh và nhà h?c 2 t?ng 4 phòng tr??ng MN Tr??ng S?n xã Tr??ng S?n, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
521;8076773;D? án ???ng giao thông t? dân ph? ??i L?i và t? dân ph? 7, th? tr?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
522;8019139;D? án C?i t?o, nâng c?p khuôn viên tr??c c?ng b?nh vi?n ?a khoa ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
523;7705254;D? án ???ng giao thông n?i vùng xã Liên Minh huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
524;7927747;D? án C?ng trang trí ?èn Led ?o?n Ngã t? Yên Trung ??n Khu l?u ni?m Tr?n Phú và 02 nút giao QL8A, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
525;7931983;D? án C?i t?o, nâng c?p b?n Tam Soa, xã Tùng ?nh, huy?n ??c Th?;Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
526;7892100;D? án Thay th? bó v?a ???ng Yên Trung, Th? tr?n ??c Th?, huy?n ??c Th? (phía ph?i tuy?n);Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
527;8079696;D? án Ch?nh trang, nâng c?p h? th?ng v?a hè tuy?n ???ng Phan ?ình Phùng, th? tr?n ??c Th? (?o?n t? c?u ?ôi 2 ??n Ngã t? Bà Viên);Huân;1;H;??c Th?;2140;9;;;;;;;;;;;
528;7851159; ???ng d?c Bà toàn - H??ng Th? (?o?n t? thôn ??ng Minh xã H??ng Minh ??n thôn 2 xã H??ng Th?), huy?n V? Quang;Thu?n;1;T;V? Quang;2140;9;;;;;;;;;;;
529;7770171;C?u C?a Rào, huy?n V? Quang;Thu?n;1;T;V? Quang;2140;9;;;;;;;;;;;
530;7750092;S?ng chung v?i l? huy?n V? Quang;Thu?n;1;T;V? Quang;2140;9;;;;;;;;;;;
531;7674976;C?u Liên Hòa, huy?n V? Quang;Thu?n;1;T;V? Quang;2140;9;;;;;;;;;;;
532;7509845;???ng giao thông liên xã ??c L?nh ?i Th? tr?n V? Quang;Thu?n;1;T;V? Quang;2140;9;;;;;;;;;;;
533;8074706;???ng GTNT tr?c xã (Tuy?n Ân Phú C?a Rào - Ông Th?c - ??p tràn H??ng Giang), xã ??c H??ng ;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
534;8074707;Nâng c?p, s?a ch?a ???ng 71 xã H??ng Minh (?i?m ??u ngõ bà Liên thôn H?p Trùa, ?i?m cu?i ngõ ông L?ch thôn H?p Du?n);Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
535;8074708;???ng giao thông n?i th? TDP6 th? tr?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
536;8121501;???ng GTNT xã ??c Giang (tuy?n c?ng ông Vinh - ông Thi?u, thôn 3 B?ng Giang), huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
537;8126748;Xây d?ng Kè ch?ng s?t l? ???ng tr?c xã t?i thôn 6 (?o?n t? nhà anh Thông ??n nhà anh Thành), xã Th? ?i?n;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
538;8126750;S?a ch?a, c?i t?o h? th?ng ?i?n chi?u sáng ???ng Phan ?ình Phùng và xây d?ng m?i h? th?ng ?i?n chi?u sáng ???ng Phan ?ình Phùng kéo dài;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
539;8121644;Xây d?ng, nâng c?p ???ng tr?c thôn 3 (?i?m ??u t?i B?u ?i?n - ?i?m cu?i t?i cây ?a), xã Quang Th?;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
540;8068858;M? r?ng, nâng c?p ???ng tr?c xã Tr?c Thác - Ngõ Bà Tuy?t (thôn 2, thôn 3, thôn 4, thôn 5) xã Ân phú, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
541;8073107;???ng GTNT t? thôn Bình Phong ?i thôn Tân H?ng xã ??c L?nh;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
542;7959985;???ng giao thông Ân Phú - C?a Rào, ?o?n qua xã ??c Liên huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
543;7959986;???ng giao thông L?c H?u, Nguy?n Du, th? tr?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
544;8032447; Nâng c?p ???ng GTNT thôn 2 tuy?n ???ng con Cuông - ông D?n - ??p Tr? Th?y xã Quang Th?;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
545;8027805;???ng GTNT thôn Thanh S?n xã ??c L?nh (?o?n t? ???ng IFAX ?i Khe ?i – Khe Du – Khe Chèo);Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
546;8045175;Xây d?ng c?u Áng Ngò (tuy?n ???ng S?n Long - Ch? B?ng), xã Ân Phú;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
547;8117231;Nâng c?p s?a ch?a khuôn viên, nhà v? sinh và các h?ng m?c ph? tr? tr??ng Ti?u h?c xã ??c Giang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
548;7677847;???ng giao thông thôn 5 xã H??ng Th?, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
549;7654764;C?i t?o, s?a ch?a phòng Giáo d?c huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
550;7884785;C?i t?o, s?a ch?a nhà k? thu?t, nhà ?i?u tr? b?nh lây Trung tâm y t? huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
551;7666226;Nhà ?a ch?c n?ng 1 t?ng công trình tr??ng THCS Phan ?ình Phùng, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
552;8066769;H? th?ng c?ng và m??ng tiêu n??c x? ??ng V?i, xã ??c Liên, huy?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
553;7859855;L?p ??t bi?n tên ???ng khu trung tâm th? tr?n V? Quang;Thu?n;1;H;V? Quang;2140;9;;;;;;;;;;;
554;7767041;???ng liên xã Liên Minh - ??c Tùng - ??c Châu, huy?n ??c Th?, t?nh Hà T?nh;H??ng;1;T;??c Th?;2578;9;;;;;;;;;;;
555;7595639;???ng liên xã ??c ??ng - ??c L?p - Tân H??ng, huy?n ??c Th?;H??ng;1;T;??c Th?;2578;9;;;;;;;;;;;
556;7059920;???ng n?i vùng C?m CN-TTCN t?p trung huy?n ??c Th?, t?nh Hà T?nh;Huân;1;T;??c Th?;2578;9;;;;;;;;;;;
557;7464241;D? án: Phát tri?n c? s? h? t?ng du l?ch ph?c v? cho t?ng tr??ng toàn di?n khu v?c Ti?u vùng Mê Công m? r?ng t?nh Hà T?nh;H??ng Giang;1;T;Dân d?ng;2578;9;;;;;;;;;;;
558;7501924;"D? án "" C?i thi?n c? s? h? t?ng cho các xã b? ?nh h??ng b?i ng?p l?t c?a t?nh Hà T?nh""";V? Giang;1;T;Dân d?ng;DDCN;9;;;;;;;;;;;
559;7679830;D? án Xây d?ng c?t thu, phát sóng truy?n hình th? xã K? Anh;H??ng Giang;1;T;Dân d?ng;DDCN;9;;;;;;;;;;;
560;7732935.1;D? án ??u t? xây d?ng công trình Khu nhà Khám b?nh, Khoa C?p c?u -?i?u tr? tích c?c, Khoa S?n, Khoa Ph?u thu?t và Hành chính t?ng h?p B?nh vi?n ?a khoa huy?n Nghi Xuân;H??ng Giang;1;T;Dân d?ng;DDCN;9;;;;;;;;;;;
561;7732935.2;??u t? xây d?ng công trình Khu nhà Khoa s?n, Khoa nhi, Khoa ngo?i, Khoa 3 CK và các h?ng m?c ph? tr? B?nh vi?n ?a khoa huy?n Th?ch Hà;H??ng Giang;1;T;Dân d?ng;DDCN;9;;;;;;;;;;;
562;7796352; D? án C?i t?o, nâng c?p, t?ng c??ng c? s? v?t ch?t Tr? s? làm vi?c C? quan T?nh u?;H??ng Giang;1;T;Dân d?ng;DDCN;9;;;;;;;;;;;
563;8044607;Nâng c?p tr? s? làm vi?c S? Y t?;V? Giang;1;T;Dân d?ng;DDCN;9;;;;;;;;;;;
564;7010700;???ng tr?c chính t? Trung tâm xã ??c L?ng vào thôn ??ng Quang, Tân Quang huy?n ??c Th?;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
565;7280505;Nâng c?p tr?m b?m và h? th?ng t??i, tiêu vùng tr?ng ?i?m lúa huy?n ??c Th?, t?nh Hà T?nh;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
566;7745757;N?n dòng Hói Tr??i xã S?n Th? huy?n V? Quang;Thu?n;1;T;V? Quang;3026;9;;;;;;;;;;;
567;7010934;???ng  giao  thông  n?i  t?  trung  tâm  xã ??c  ??ng  ??n  thôn  B?ng  Phúc  xã  ??c L?ng, huy?n ??c Th?;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
568;7487883;???ng giao thông nông thôn k?t h?p vào trang  tr?i  ch?n  nuôi  t?p  trung  xã  ??c L?ng,   xã   Tân   H??ng,   xã   ??c   D?ng, huy?n ??c Th?, t?nh Hà T?nh;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
569;7593405;H? th?ng kênh m??ng n?i ??ng xã  ??c Th?y, huy?n ??c Th?;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
570;7010431;C?i  t?o,  nâng  c?p  ???ng  T?nh  l?  28, huy?n ??c Th?;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
571;7731075;???ng giao thông n?i vùng xã ??c Hòa, huy?n ??c Th?;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
572;7742106;Nâng  c?p  ???ng  n?i  Qu?c  l?  15  ?i  qua trung  tâm  xã  ??c  D?ng,  H?  ch?a  n??c Khe Lang, huy?n ??c Th?;Huân;1;T;??c Th?;3026;9;;;;;;;;;;;
573;8096166;Kh?c ph?c c?p bách kè ch?ng s?t l? b? t? h? l?u c?u Ch? V?c, xã C?m Du?, huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;9;;;;;;;;;;;
574;7959879;X? lý s?t l? b? sông Rác ?o?n qua xã C?m L?c, huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;9;;;;;;;;;;;
575;7904313;Khôi ph?c c?u ?á B?c, xã C?m Th?nh, huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;9;;;;;;;;;;;
576;7902750;Kh?c ph?c kè bi?n xã C?m Nh??ng, huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;9;;;;;;;;;;;
577;7904312;Kh?c ph?c ???ng tr?c xã ven bi?n xã C?m L?nh, huy?n C?m Xuyên;Nam;2;T;C?m Xuyên;2140;9;;;;;;;;;;;
578;7677500;???ng C?m D??ng - C?m Th?nh;Nam;2;T;C?m Xuyên;2140;9;;;;;;;;;;;
579;8115972;Tr? s? làm vi?c và các h?ng m?c ph? tr? Ban Qu?n lý d? án ??u t? xây d?ng huy?n C?m Xuyên;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
580;7972206;C?u qua kênh Xô Vi?t KN2 thôn H?ng Ti?n, xã C?m H?ng, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
581;8065607;???ng doc b? bi?n Thiên C?m ?o?n t? Khách s?n Công ?oàn ??n chân núi Thiên C?m, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
582;7956684;???ng ?H.128 ?o?n t? Qu?c l? 8C ??n Gi?ng C?n, th? tr?n Thiên C?m, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
583;8060389;???ng tr?c chính vào thôn M? Hòa, xã Yên Hòa, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
584;8013448;Nhà h?c 03 t?ng 9 phòng tr??ng Ti?u h?c C?m Th?ch, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
585;7961957;DA Nhà h?c 2 t?ng 10 phòng tr??ng MN C?m Minh, huy?n C?m Xuyên (Mã DA 7961957);Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
586;7972203;Nhà h?c 2 t?ng 8 phòng h?c b? môn  tr??ng THCS M? Du?, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
587;7972950;Nhà h?c 2 t?ng 8 phòng h?c b? môn tr??ng Ti?u h?c C?m S?n, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
588;7972953;Nhà h?c 3 t?ng 12 phòng h?c b? môn tr??ng THCS C?m Nh??ng, huy?n C?m Xuyên, t?nh Hà T?nh.;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
589;8064109;Nhà h?c b? môn 02 t?ng 10 phòng Tr??ng ti?u h?c C?m H?ng, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
590;7972201;Tr??ng ti?u h?c C?m H?ng, h?ng m?c san n?n và nhà h?c 2 t?ng 12 phòng, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
591;7972208;Nhà h?c 02 t?ng 10 phòng tr??ng Ti?u h?c Nam Phúc Th?ng 2, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
592;7972210;Nhà h?c 2 t?ng 8 phòng h?c b? môn tr??ng ti?u h?c C?m Trung, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
593;8013449;Nâng c?p, c?i t?o khuôn viên, sân v??n Trung tâm v?n hóa Hà Huy T?p, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
594;8013450;C?i t?o, s?a ch?a Nhà làm vi?c 2 t?ng Trung tâm giáo d?c ngh? nghi?p - GDTX, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
595;8064108;Nâng c?p, c?i t?o Tr? s? chi c?c Thu? c? huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
596;8070790;C?u Tru?c Nh?ng, xã C?m L?c, huy?n C?m Xuyên, t?nh Hà T?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
597;8115970;Nâng c?p, c?i t?o s?a ch?a H?i tr??ng Hà Huy T?p, huy?n C?m Xuyên;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
598;8128678;X? lý s?t l? b? sông Ngàn M? ?o?n qua xã C?m Thành, huy?n C?m Xuyên;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
599;7874264.3;Xây d?ng tr? s? Công an xã C?m L?nh;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
600;7874264.4;Xây d?ng tr? s? Công an xã C?m D??ng;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
601;7874264.5;Xây d?ng tr? s? Công an xã C?m Thành;Nam;2;H;C?m Xuyên;2140;9;;;;;;;;;;;
602;7920259;???ng th? tr?n Nghèn - ??ng L?c;H??ng;2;T;Can L?c;2140;9;;;;;;;;;;;
603;8120806;S?n bó v?a, b? sung h? th?ng an toàn giao thông m?t s? tuy?n ???ng n?i th?, th? tr?n Nghèn, huy?n Can L?c;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
604;7771916;Khu th? thao, sân v?n ??ng huy?n Can L?c (giai ?o?n 1);H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
605;7779873;Nâng c?p, m? r?ng ???ng tr?c chính xã Thu?n Thi?n ?i ??p Cù Lây, huy?n Can L?c;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
606;7945813;Xây d?ng Tr? s? làm vi?c c? quan chính quy?n huy?n Can L?c;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
607;7988217;???ng giao thông và c?u C?n Ao, xã Kim Song Tr??ng, huy?n Can Lôc;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
608;8033930;H? th?ng ?i?n chi?u sáng Qu?c l? 1A th? tr?n Nghèn, huy?n Can L?c ;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
609;8042572;Xây d?ng tr? s? làm vi?c xã Kim Song Tr??ng, huy?n Can L?c;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
610;7619874;Nhà h?c 2 t?ng 8 phòng tr??ng THCS Trà Linh;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
611;8117704;Xây d?ng h? t?ng khuôn viên tr? s? Huy?n u?, c? quan chính quy?n huy?n Can L?c. H?ng m?c: H? ng?m ???ng ?i?n 0,4KV, nhà ?? xe, mái kính và các h?ng m?c ph? tr?;H??ng;2;H;Can L?c;2140;9;;;;;;;;;;;
612;7899875;Kè ch?ng s?t l? b? sông ??p ?ình, xã Trung L?c, huy?n Can L?c;H??ng;2;H;Can L?c;2578;9;;;;;;;;;;;
613;XHH10;Nhà v?n hóa c?ng ??ng k?t h?p tránh bão, l? thôn Th??ng Phúc, xã Khánh V?nh Yên ;H??ng;2;H;Can L?c;2578;9;;;;;;;;;;;
614;7296126;Tu  b?,  tôn  t?o  qu?n  th?  di  tích  khu  m?, khu  l?u  ni?m  và  qu?ng  tr??ng  C?  T?ng Bí th?  Hà  Huy T?p,  huy?n  C?m  Xuyên, t?nh Hà T?nh;Nam;2;T;C?m Xuyên;3026;9;;;;;;;;;;;
615;7430928;S?a ch?a, nâng c?p ??p Mi?u L?n, xã Thiên L?c;H??ng;2;T;Can L?c;3026;9;;;;;;;;;;;
